for i, y in enumerate(x):
    print i, y
0 (u'q1_q2_intersect', 0.012650124728679657)
1 (u'freq_question2', 0.01051636878401041)
2 (u'q1_k_max_core', 0.007803450804203749)
3 (u'freq_question1', 0.007407181430608034)
4 (u'w_share_ratio_1_smooth_idf_dirty_lower_no_stops', 0.007102359551936388)
5 (u'w_share_ratio_1_smooth_idf_dirty_upper', 0.0067060901783406734)
6 (u'q2_k_max_core', 0.006492714863270521)
7 (u'freq_1000_minus_min', 0.006096445955336094)
8 (u'w_share_ratio_1_std_idf_dirty_lower_no_stops', 0.006004998926073313)
9 (u'freq_50_minus_min', 0.005730659235268831)
10 (u'glove_wmd_lemmas', 0.005669694393873215)
11 (u'freq_100_minus_min', 0.005425836890935898)
12 (u'kur_q1vec_lemmas_word2vec', 0.005181978922337294)
13 (u'skew_q1vec_lemmas_lex', 0.005121014546602964)
14 (u'freq_500_minus_min', 0.005060050170868635)
15 (u'skew_q1vec_tokens_lex', 0.0050295679830014706)
16 (u'aux_pair_target_freq', 0.0050295679830014706)
17 (u'kur_q2vec_lemmas_lex', 0.004968603141605854)
18 (u'lex_norm_wmd_tokens', 0.004968603141605854)
19 (u'kur_q2vec_tokens_glove', 0.004938120953738689)
20 (u'top_1.1K_upper_both', 0.00487715657800436)
21 (u'kur_q2vec_lemmas_word2vec', 0.004846674390137196)
22 (u'w_share_ratio_3_std_idf_tokens_lower', 0.004816192202270031)
23 (u'skew_q2vec_lemmas_word2vec', 0.004785710014402866)
24 (u'kur_q2vec_tokens_lex', 0.004785710014402866)
25 (u'w_means_log_std_idf_dirty_upper', 0.004755227826535702)
26 (u'freq_50_minus_max', 0.004755227826535702)
27 (u'freq_1000_minus_g_mean', 0.004755227826535702)
28 (u'skew_q1vec_tokens_glove', 0.004755227826535702)
29 (u'kur_q1vec_lemmas_lex', 0.004755227826535702)
30 (u'skew_q2vec_tokens_lex', 0.004724745638668537)
31 (u'w_means_log_std_idf_dirty_lower_no_stops', 0.004663780797272921)
32 (u'kur_vec_tokens_lex_log_ratio', 0.004633298609405756)
33 (u'w1_std_smooth_idf_dirty_upper', 0.004602816421538591)
34 (u'w1_std_std_idf_dirty_lower_no_stops', 0.004541852045804262)
35 (u'w_means_log_smooth_idf_dirty_upper', 0.0045113698579370975)
36 (u'w_means_log_smooth_idf_tokens_lower_no_stops', 0.0045113698579370975)
37 (u'freq_1000_minus_mean', 0.004480887670069933)
38 (u'skew_q1vec_lemmas_glove', 0.004480887670069933)
39 (u'w_share_ratio_3_smooth_idf_dirty_upper', 0.004450405482202768)
40 (u'w_share_std_idf_tokens_lower', 0.004450405482202768)
41 (u'w2_std_smooth_idf_dirty_upper', 0.004419923294335604)
42 (u'skew_q2vec_lemmas_glove', 0.004389441106468439)
43 (u'kur_q1vec_tokens_lex', 0.004389441106468439)
44 (u'w_means_log_smooth_idf_dirty_lower_no_stops', 0.0043589589186012745)
45 (u'freq_1000_plus_min', 0.0043589589186012745)
46 (u'kur_vec_lemmas_word2vec_log_ratio', 0.0043589589186012745)
47 (u'freq_200_minus_min', 0.00432847673073411)
48 (u'kur_q2vec_lemmas_glove', 0.00432847673073411)
49 (u'common_lemmas_ratio_no_stops', 0.004297994077205658)
50 (u'skew_q1vec_lemmas_word2vec', 0.004297994077205658)
51 (u'kur_vec_tokens_word2vec_q1_ratio', 0.004297994077205658)
52 (u'len_char_ratio', 0.004267511889338493)
53 (u'w_means_log_std_idf_tokens_lower_no_stops', 0.004267511889338493)
54 (u'word2vec_norm_wmd_lemmas', 0.004267511889338493)
55 (u'lex_norm_wmd_lemmas', 0.004267511889338493)
56 (u'w1_std_std_idf_tokens_lower_no_stops', 0.004237029701471329)
57 (u'skew_q2vec_tokens_glove', 0.004206547513604164)
58 (u'w_share_ratio_1_std_idf_dirty_upper', 0.0041760653257369995)
59 (u'w_means_log_smooth_idf_tokens_lower', 0.0041760653257369995)
60 (u'freq_1000_plus_max', 0.0041760653257369995)
61 (u'abi_kur_q2vec', 0.0041760653257369995)
62 (u'skew_q2vec_lemmas_lex', 0.0041760653257369995)
63 (u'w1_std_std_idf_dirty_upper', 0.00411510095000267)
64 (u'w_share_ratio_3_std_idf_dirty_lower_no_stops', 0.004054136574268341)
65 (u'kur_q1vec_tokens_glove', 0.0040236543864011765)
66 (u'w2_std_std_idf_dirty_upper', 0.003993172198534012)
67 (u'w2_std_smooth_idf_tokens_lower', 0.003993172198534012)
68 (u'lemmas_partial_ratio', 0.00396268954500556)
69 (u'freq_1000_plus_mean', 0.00396268954500556)
70 (u'kur_vec_lemmas_glove_abs_diff', 0.00396268954500556)
71 (u'w_share_smooth_idf_dirty_lower_no_stops', 0.003932207357138395)
72 (u'w1_mean_std_idf_dirty_upper', 0.003932207357138395)
73 (u'freq_500_plus_max', 0.003932207357138395)
74 (u'kur_vec_tokens_word2vec_log_ratio', 0.003932207357138395)
75 (u'w_share_ratio_1_std_idf_tokens_lower', 0.0039017254021018744)
76 (u'stems_token_set_ratio', 0.003871242981404066)
77 (u'w_share_smooth_idf_dirty_upper', 0.003871242981404066)
78 (u'w1_std_smooth_idf_tokens_lower', 0.003871242981404066)
79 (u'w2_mean_std_idf_dirty_upper', 0.003810278605669737)
80 (u'freq_50_plus_mean', 0.003810278605669737)
81 (u'w2_std_std_idf_dirty_lower_no_stops', 0.0037797964178025723)
82 (u'upper_plus_freq_200', 0.0037493142299354076)
83 (u'freq_1000_minus_std', 0.0037493142299354076)
84 (u'w1_std_smooth_idf_dirty_lower_no_stops', 0.0037188318092375994)
85 (u'w_share_std_idf_dirty_lower_no_stops', 0.0037188318092375994)
86 (u'freq_50_minus_std', 0.0037188318092375994)
87 (u'freq_50_minus_max_min_ratio', 0.0037188318092375994)
88 (u'freq_1000_plus_g_mean', 0.0037188318092375994)
89 (u'kur_vec_lemmas_word2vec_q1_ratio', 0.0037188318092375994)
90 (u'kur_vec_lemmas_lex_abs_diff', 0.0037188318092375994)
91 (u'kur_vec_lemmas_lex_1div2_ratio', 0.0037188318092375994)
92 (u'kur_vec_lemmas_lex_log_ratio', 0.0037188318092375994)
93 (u'w_share_ratio_3_std_idf_dirty_upper', 0.0036883496213704348)
94 (u'w2_mean_std_idf_tokens_lower', 0.0036883496213704348)
95 (u'w_share_ratio_1_std_idf_tokens_lower_no_stops', 0.0036883496213704348)
96 (u'freq_1000_minus_max', 0.0036883496213704348)
97 (u'tokens_sorensen', 0.00365786743350327)
98 (u'w2_std_std_idf_tokens_lower', 0.00365786743350327)
99 (u'w_means_log_std_idf_tokens_lower', 0.00365786743350327)
100 (u'stems_token_sort_ratio', 0.0036273852456361055)
101 (u'tokens_partial_ratio', 0.0036273852456361055)
102 (u'freq_50_minus_mean', 0.003596903057768941)
103 (u'freq_200_plus_max', 0.003596903057768941)
104 (u'kur_vec_tokens_glove_log_ratio', 0.003596903057768941)
105 (u'stems_sorensen', 0.0035664208699017763)
106 (u'w_share_ratio_3_smooth_idf_dirty_lower_no_stops', 0.0035664208699017763)
107 (u'w1_mean_std_idf_dirty_lower_no_stops', 0.0035664208699017763)
108 (u'kur_q1vec_lemmas_glove', 0.0035664208699017763)
109 (u'abi_kur_q1vec', 0.003535938449203968)
110 (u'kur_vec_tokens_word2vec_1div2_ratio', 0.003535938449203968)
111 (u'lemmas_sorensen', 0.0035054562613368034)
112 (u'abi_norm_wmd', 0.003474974073469639)
113 (u'kur_vec_lemmas_word2vec_1div2_ratio', 0.003474974073469639)
114 (u'w2_std_smooth_idf_tokens_lower_no_stops', 0.003444491885602474)
115 (u'freq_500_plus_min', 0.003444491885602474)
116 (u'w2_std_std_idf_tokens_lower_no_stops', 0.0034140096977353096)
117 (u'freq_1000_plus_std', 0.0034140096977353096)
118 (u'w1_std_std_idf_tokens_lower', 0.003383527509868145)
119 (u'w2_mean_smooth_idf_tokens_lower_no_stops', 0.003383527509868145)
120 (u'w1_std_smooth_idf_tokens_lower_no_stops', 0.003383527509868145)
121 (u'kur_vec_tokens_lex_q1_ratio', 0.003383527509868145)
122 (u'freq_100_plus_min', 0.0033530450891703367)
123 (u'abi_skew_q1vec', 0.0033530450891703367)
124 (u'top_1.1K_upper_sym_diff', 0.0033530450891703367)
125 (u'w2_mean_std_idf_dirty_lower_no_stops', 0.003322562901303172)
126 (u'freq_200_plus_min', 0.003322562901303172)
127 (u'w1_mean_smooth_idf_tokens_lower', 0.0032920807134360075)
128 (u'freq_100_minus_max', 0.003261598525568843)
129 (u'abi_skew_q2vec', 0.003261598525568843)
130 (u'w2_std_smooth_idf_dirty_lower_no_stops', 0.0032311163377016783)
131 (u'w_share_smooth_idf_tokens_lower_no_stops', 0.0032311163377016783)
132 (u'lemmas_partial_token_sort_ratio', 0.00320063391700387)
133 (u'w1_mean_smooth_idf_dirty_upper', 0.00320063391700387)
134 (u'w2_mean_smooth_idf_dirty_upper', 0.00320063391700387)
135 (u'w_share_ratio_3_smooth_idf_tokens_lower', 0.00320063391700387)
136 (u'w_share_ratio_1_smooth_idf_tokens_lower_no_stops', 0.00320063391700387)
137 (u'freq_100_minus_std', 0.00320063391700387)
138 (u'freq_50_plus_std', 0.0031701517291367054)
139 (u'stems_partial_ratio', 0.003139669541269541)
140 (u'freq_50_plus_max', 0.003139669541269541)
141 (u'tokens_nlevenshtein', 0.003109187353402376)
142 (u'freq_500_minus_mean', 0.003109187353402376)
143 (u'len_char_q2', 0.0030787051655352116)
144 (u'w_share_smooth_idf_tokens_lower', 0.0030787051655352116)
145 (u'w_share_ratio_1_smooth_idf_tokens_lower', 0.0030787051655352116)
146 (u'w1_mean_std_idf_tokens_lower', 0.0030787051655352116)
147 (u'freq_50_plus_min', 0.0030787051655352116)
148 (u'lemmas_token_sort_ratio', 0.003048222977668047)
149 (u'w2_sum_std_idf_tokens_lower_no_stops', 0.003048222977668047)
150 (u'freq_50_plus_g_mean', 0.003048222977668047)
151 (u'freq_100_plus_std', 0.003048222977668047)
152 (u'freq_500_minus_std', 0.003048222977668047)
153 (u'glove_wmd_tokens', 0.003048222977668047)
154 (u'len_char_q1', 0.0030177405569702387)
155 (u'freq_500_minus_max_min_ratio', 0.0030177405569702387)
156 (u'kur_vec_lemmas_glove_log_ratio', 0.0030177405569702387)
157 (u'w1_sum_std_idf_dirty_upper', 0.002987258369103074)
158 (u'freq_50_plus_max_min_ratio', 0.002987258369103074)
159 (u'w2_sum_smooth_idf_dirty_lower_no_stops', 0.0029567761812359095)
160 (u'w_share_ratio_3_smooth_idf_tokens_lower_no_stops', 0.0029567761812359095)
161 (u'freq_200_minus_mean', 0.002926293993368745)
162 (u'lex_wmd_lemmas', 0.002926293993368745)
163 (u'kur_vec_tokens_lex_abs_diff', 0.002926293993368745)
164 (u'lemmas_levenshtein', 0.0028958118055015802)
165 (u'freq_200_minus_max_min_ratio', 0.0028958118055015802)
166 (u'freq_500_plus_std', 0.0028958118055015802)
167 (u'freq_1000_minus_max_min_ratio', 0.0028958118055015802)
168 (u'kur_vec_tokens_glove_abs_diff', 0.0028958118055015802)
169 (u'stems_nlevenshtein', 0.0028653296176344156)
170 (u'freq_1000_plus_max_min_ratio', 0.0028653296176344156)
